                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1306,                 3.8068,                 1.5556,                0.99351,                0.07553,                0.20629,                0.09886,                 1.4177,                  3.692,                 1.1826,                0.00026,                0.00026,                0.00026
                      2,                 1.4599,                  1.968,                 1.1309,                0.86742,                0.27608,                0.69351,                0.39532,                 1.3853,                 2.5585,                 1.1087,             0.00050901,             0.00050901,             0.00050901
                      3,                 1.3575,                 1.4029,                 1.0856,                0.88594,                0.53195,                0.85433,                0.47808,                 1.3975,                 2.0419,                 1.1376,             0.00073664,             0.00073664,             0.00073664
                      4,                 1.3119,                  1.167,                 1.0847,                0.93419,                0.68489,                0.93992,                0.55495,                 1.2961,                 1.8333,                 1.1146,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.2981,                 1.0553,                 1.0827,                 0.8558,                0.89047,                0.95664,                0.61243,                 1.2189,                 1.3921,                  1.078,              0.0008812,              0.0008812,              0.0008812
                      6,                 1.2885,                 1.0096,                 1.0668,                0.87134,                0.91224,                0.97614,                0.61837,                 1.2167,                 1.0861,                 1.0751,              0.0008416,              0.0008416,              0.0008416
                      7,                 1.2314,                0.94107,                 1.0458,                0.92644,                0.98133,                0.98228,                0.63853,                 1.1797,                 0.8142,                 1.0575,               0.000802,               0.000802,               0.000802
                      8,                 1.2049,                0.89632,                 1.0458,                0.96672,                0.96359,                0.98502,                0.61244,                 1.2281,                0.81773,                 1.0493,              0.0007624,              0.0007624,              0.0007624
                      9,                 1.1963,                0.88174,                 1.0366,                0.91802,                0.96839,                 0.9702,                0.62838,                 1.1609,                0.83067,                 1.0389,              0.0007228,              0.0007228,              0.0007228
                     10,                 1.1888,                0.84535,                 1.0205,                0.97915,                0.95492,                0.98903,                0.65063,                 1.1203,                 0.7341,                 1.0267,              0.0006832,              0.0006832,              0.0006832
                     11,                 1.1665,                0.82434,                 1.0286,                0.94322,                 0.9615,                0.98566,                 0.6613,                  1.094,                0.71291,                 1.0159,              0.0006436,              0.0006436,              0.0006436
                     12,                 1.1747,                0.81661,                 1.0213,                0.96477,                0.96824,                0.98246,                0.65116,                 1.1413,                0.71668,                 1.0329,               0.000604,               0.000604,               0.000604
                     13,                 1.1782,                0.80112,                 1.0214,                0.95179,                 0.9773,                0.98422,                0.66657,                 1.0963,                0.71485,                 1.0156,              0.0005644,              0.0005644,              0.0005644
                     14,                 1.1592,                0.76813,                 1.0076,                0.97232,                0.98463,                0.98977,                0.66087,                 1.1261,                0.70113,                 1.0191,              0.0005248,              0.0005248,              0.0005248
                     15,                  1.136,                0.75052,                0.99977,                0.97775,                0.98789,                0.99065,                0.66402,                 1.0915,                0.66508,                 1.0094,              0.0004852,              0.0004852,              0.0004852
                     16,                 1.1411,                0.86248,                 1.0261,                0.97636,                0.97679,                0.99058,                0.66045,                 1.0919,                0.68777,                 1.0229,              0.0004456,              0.0004456,              0.0004456
                     17,                 1.1466,                0.82662,                 1.0329,                0.97774,                0.98352,                0.98744,                0.65995,                 1.0848,                0.66897,                 1.0155,               0.000406,               0.000406,               0.000406
                     18,                 1.1276,                0.80117,                 1.0244,                0.97376,                 0.9839,                0.98647,                0.67079,                 1.0606,                0.65009,                0.99638,              0.0003664,              0.0003664,              0.0003664
                     19,                 1.1072,                0.76478,                 1.0158,                0.98375,                0.97104,                0.98686,                0.67124,                 1.0866,                0.64872,                 1.0052,              0.0003268,              0.0003268,              0.0003268
                     20,                  1.102,                0.74149,                 1.0181,                0.98442,                0.97852,                0.98917,                0.68213,                 1.0798,                0.61965,                 1.0004,              0.0002872,              0.0002872,              0.0002872
                     21,                 1.0989,                0.73499,                 1.0061,                0.96114,                  0.978,                0.98438,                0.68064,                 1.0639,                0.62065,                0.99849,              0.0002476,              0.0002476,              0.0002476
                     22,                 1.0922,                 0.7291,                 1.0041,                0.96317,                0.98359,                0.98916,                0.68392,                 1.0617,                0.61888,                0.99575,               0.000208,               0.000208,               0.000208
                     23,                 1.0827,                0.71672,                 1.0019,                0.97801,                0.98639,                0.99135,                0.68723,                 1.0562,                  0.606,                0.99187,              0.0001684,              0.0001684,              0.0001684
                     24,                 1.0722,                0.71404,                0.99333,                0.97624,                0.98234,                0.99047,                 0.6932,                 1.0457,                0.59971,                0.98988,              0.0001288,              0.0001288,              0.0001288
                     25,                 1.0768,                0.69815,                0.99419,                0.96753,                 0.9832,                0.98929,                0.68866,                 1.0488,                0.59327,                0.98703,               8.92e-05,               8.92e-05,               8.92e-05
